year,yearName,cu
1,1985,0.0
2,1986,0.0
3,1987,0.0
4,1988,0.0
5,1989,0.0
6,1990,0.0
7,1991,0.0
8,1992,0.0
9,1993,0.0
10,1994,0.0
11,1995,0.01
12,1996,0.01
13,1997,0.01
14,1998,0.01
15,1999,0.01
16,2000,0.02
17,2001,0.03
18,2002,0.06
19,2003,0.07
20,2004,0.07
21,2005,0.07
22,2006,0.07
23,2007,0.07
24,2008,0.09
25,2009,0.1
26,2010,0.1
27,2011,0.1
28,2012,0.11
29,2013,0.11
30,2014,0.11
31,2015,0.11
