year,yearName,comb
1,1985,9.16
2,1986,9.16
3,1987,11.0
4,1988,12.59
5,1989,13.66
6,1990,16.05
7,1991,16.09
8,1992,16.1
9,1993,16.14
10,1994,16.73
11,1995,16.9
12,1996,16.94
13,1997,16.96
14,1998,20.22
15,1999,21.21
16,2000,23.62
17,2001,29.91
18,2002,30.14
19,2003,30.36
20,2004,30.69
21,2005,31.14
22,2006,31.92
23,2007,32.34
24,2008,33.01
25,2009,33.49
26,2010,33.97
27,2011,34.71
28,2012,37.04
29,2013,38.06
30,2014,38.69
31,2015,39.56
